18	7	[#6,#1]C([#6,#1])(O[#6])(O[#6])	COC(C)(OC)C	CC1(C)OCCO1
10795	6	O1[CH2][#6][#6]([CH1]1[#6])	CC1OCCC1	C1CC(OC1)C2=COC=C2
10796	9	[CX4]([CX4]([CH1]([CX4][CX3])[CX4]([CH3])([CH3])))	C1=CCC2CC1C2(C)C	C=CCC(CCC)C(O)(C)C	O=C(N)C1CCCCC1C(C)C
10797	14	O=[CH0]([CH1]1[CH2][CH2][CH2]N1[#6])N[CH1]([CH2][CH2][#6])[#6]	CN1CCCC1C(=O)NC(C)CCC	CN1CCCC1C(=O)N2CCCC2C	CN1CCCC1C(=O)NC(C)CCC=2C=CC=CC2
10798	10	[CH3]O[cH0](:[cH1]:[cH0](:[#6])N[#6]):[#6]	CNC=1C=CC=C(OC)C1	OC=1C=C2CCNC2=CC1OC	CC1=C(N)C(OC)=CC(NC)=C1O
10799	10	[CH3][CH0]1([CH2][#6])[CH1]([#6])[CH2][#6]([CH0]1=[#8])	O=C1CCC(C)C1(C)CC
10800	12	[CX4][nH0]([cX3]a)[cX3](a)[cX3](a)[cX3](a)	S=C1NN=C(C=2SC=CC2)N1C	OC1=CC=2C3=CC(=C)C(=C)C(=O)N3CCC2C=C1O	CC=1NC2=C(C(C)=C(C)C=3C(C)=C(C)N(C23)C(O)C)C1C
10801	8	[CX4]([CX4][OH1])[CH0](=[CX3])[CX3](=[OH0])	O=C(O)C(=C)CCO	O=C1NCC=2OCC(O)(C)C(O)C12	CC(=O)C1=C(C)C=CC(O)C1O
10802	13	[CH3][cH0]1:[cH0](:[cH0](:[cH1]:[cH1]:[#6]):[#6]:[#7]1)[CH2][CH2][#7]	NCCC=1C=2C=CC=CC2NC1C	NCCC=1C=2C=CC=CC2N(C1C)C	ClC=1C=CC2=C(NC(=C2CCN)C)C1Cl
10803	8	[CX3][NH0]([CX4])[CH2][CX4]([CX4])	S=C1NCCCN1C	NCCCN(C(=O)C)CC	O=C(C=1C=CN=CC1)N2CCC(N)CC2
10804	6	[CX4][CX4]([CH0]([NX3])=[OH0])	O=C(N)CCC	O=C1NCCCC1	CC1(O)C=CNC(=O)C1O
10805	8	[CH3][CH1]1[#6]([#6]([CH2][CH1](O1)[#8]))	OC1OC(CCC1)C
10806	8	[cX3]1[cH0]([cX3]([nH0][nX3]1))[CX4]	CCC=1C=NNC1C	NC(S)C1=CN(N=C1C=2C=CC=CC2)C=3C=CC=CC3	CC1=NN(C)C(N)=C1C(F)(F)F
10807	7	[CX4]([CX4])([CH0]([NX3])=[OH0])[CH3]	CNC(=O)C(C)C	O=C1N(Cl)CNC1(C)CC	O=C(N(C)C)C(O)(C)C
10808	6	O=[CH0]([CH2][CH2][#7])O	NCCC(=O)O
10809	16	[CX4]1[CX4]([CH1]([CH1]([CH1]([OH0]1)[OH0][CX4]([CX4]([CX4])))[OH1])[OH1])	CCCC(C)OC1OC(C)C(O)C(O)C1O	OC(COC1OCC(O)C(O)C1O)C(C)O	OC1C(O)COC1(OC2OC(C)C(O)C(O)C2O)C
10810	8	[cH1]1:[cH1]:[cH1]:[cH1]:[cH1]:[cH0]1S[#6]	CSC=1C=CC=CC1	N=1N=C2C=CC(=NN2N1)SC=3C=CC=CC3	N=1C=C(SC=2C=CC=CC2)C=3C=CC=CC3C1
10811	11	[CH3]O[cH0]1:[cH1]:[cH0](:[cX3](:[cH0]([#6]):[cX3]1))[#6]	CC=1C=C(C=C(OC)C1C)C	O=C1C=C(O)C=2C(OC)=CC=3C(O)=C(O)C(O)=C(C)C4=CC=C1C2C43	CC1=CC(=CC(OC)=C1N)C=2OC=CC2
10812	10	[CX3][CX4]([CX4]([CX4][CX4]([OH0][CX3])))	OC1OC=CC2CC=CC12	CC(=O)OC(C)CCCC(=O)C	C=CC(C)(C)C1(C)C(=O)OC(C)C1(C)O
10813	7	[CX4]1[CX4]([CH2][CX4]([CX4]([OH0]1)))	NC1OCCCC1	CC12COC(O)(O1)CCC2(C)C	OC1OC(C)C(O)CC1O
10814	10	[CX3][OH0][cX3]([cX3][cX3](a))a	CC(=O)OC=1C=CC=CC1	C=C1C=CC=2CC=C(OC2C1=C)N	O=COC=1C(=C(C=2OC(C)CCC2C1C)C)C
10815	7	[#6][CH2][CH2]N[CH2][CH2][#6]	CCCNCCC	N1CCCCCC1	CCCNCCC=1SC=CC1
10816	9	[CH3][CH1]([CH1]([#6])O)[CH1]=[CH0]([#6])[#6]	CC(O)C(C=C(C)C)C
10817	10	[CX4][cH0]1[cX3]([cH1][cH1][cX3]([cH0]1[OH0][CX4]))	NCC=1C=CC=CC1OC	OC1CCC2=CC=C3OCOC3=C21	CC(C)(O)C1=C(N)C=CC=2C=CC(OC21)(C)C
10818	7	[CX3](=[CX3])[CX4]([CX4][CX4]([CX4]))	CC=CCCCC	CC1(O)CCCC1C(O)C(C)=C	CC(N)C1NCC(=CC)C(C)C1
10819	10	[CX4]1[CX4]([CX4]([CX4]([CH1]([CX4]1)[OH0][CX4])))	OC1CCCCC1OCC	CC1CC2OC(N)C1(C)C(C)C2(C)C	OC(C)OC1CC(O)C(C)(C)C(C)(O)C1
10820	11	[CH3][CH0]1([CH2][CH2][#6]([#6]([CH0]1([CH2][#6])[#8])))[#6]	CC1(C)CCCCC1(O)CC	C1=CCC23OC3CCCC12C	CCC12OC2CCCC1(C)C
10821	4	[#6]([CH2][CH2][#16])	SCCC
10822	7	[CX3][NH1][CX3]([NX3])	S=C1NC=CCN1	N=C(NC=O)NC	O=C1NC(=C)CN1C
10823	6	n1:n:n:[cX3]:n1[#6]	CN1N=NN=C1	CN1NN=NC1=S	SC1=NN=NN1C=2C=CC=CC2
10824	13	[CX4]([CX4]([CX4]([CH1]=[CX3][CX4])))[CX4]([CH0](=[CX3])[CX4])	CC1C(=C)CC(O)C1CC=CCC	OC(C(O)C(C=CC(C)C)(C)C)C(O)C(=CC)C	OC1(CCC(=C(C)C)C1(C)C)C2CC(C)(C(C)=CC2)C
10825	7	[CX4][CH1]([CX4])[CH1]([CH3])[CX3]	C=CC(C)C(C)C	O=C1OCC(O)(C)C(CC)C1C	N=C(C)C(C)C1CCCC1(C)C
10826	12	[CX4]1[CH2][OH0][cX3](a)[cX3](a)[CX4]1	CC1=CC=C2OCCCC2=C1C	CC1COC2=C(O)C(O)=C(O)C=C2C1O	CC1(N)C2=CC(F)=CC=C2OCC1
10827	11	O[cH0](:[cH0](:[cH0](:[#6])O)[CH2][#6]):[#6]	CC1=CC=C2OCCC2=C1O	OC=1C=C(O)C=C(O)C1CC	ClC=1C(O)=C(C(O)=C(C)C1C)CC
10828	8	O=[CH0]([#6])[CH1]([CH1]([#6])[#8])[#6]	O=C1CCC(O)C1C	CC(=O)C(C)C(C)O
10829	5	[NX3][CX4]([CH2][OH1])	CNCCO	CN(C)C(C)(S)CO	CC(N)CO
10830	10	[#8]=[CH0]([#7])[cH0](:[#6]):[cH0](:[cH1]:[#6])Cl	NC(=O)C=1C=CC=CC1Cl	NC(=O)C1=CC(S)=C(F)C=C1Cl	O=C(N)C1=CC(S)=CC=C1Cl
10831	11	[CX4]([CH2][NX3][cX3]([cX3](a)[ClH0])a)	NCCN(C)C1=NSN=C1Cl	ClC=1C=C(Cl)C=2NCCCC2C1	CCCNC1=NC(=NC(=C1Cl)C)C2=NC=CC=C2
10832	6	[CH3][CH2]N[CH1]([#6])[#6]	CC(C)NCC	CC(NCC)C=1C=CC=CC1
10833	8	O[cH0]1:[cH0]([#8]):[cH1]:[cH1]:[#6](:[#6]1)	OC=1C=CC=CC1O	OC=1C=CC2=CNCN=C2C1O	NC=1C(C)=CC=C(O)C1O
10834	5	[CX4]([NX3])[OH1]	CNC(C)O	CN(C)C(C)(O)C=1C=CC=CC1
10835	10	[cX3](a)[nX3](a)[cX3](a)[nH0][cX3](a)	CC=1N=C2N=CC=CN2C1	O=C1C(=C)C(=C)N2C(=S)NN=C2N1C	FC1=CC=C(C=C1)N2C=3N=C4C=CC=CC4=NC3C(S)=C2N
10836	5	O=[CH0]([CH1]=[#6])[#6]	C=CC(C)=O	C=CC(=O)C=1C=CC=CC1
10837	6	[CX4]1([CX4]([NX3]([CX4]([SH0]1))))	CC1SCCN1	CC1N2CC=3C=CC=CC3C2SC1(C)C	CN1CSCC1C
10838	7	O=[CH0]([#7])[CH2][CH0](=O)[#6]	O=C(C)CC(=O)N	O=C(N)CC(=O)C=1C=CC=CC1
10839	19	[CX4][CH2][cX3](a)[cX3](a)[CX4][CX4]([cH0]1[cX3]([cX3]([cX3]([cH1][cH1]1))))	OC1=C(O)C=C2C3=C1C4=CC=CC=C4CC3NCC2	C=C1N=C2C(=CC1=C)CC(C)C(C)(C=3C=CC=C(O)C3)C2	CC1C2=C(OC1C3=CC=C(O)C(O)=C3)C=C(O)C=4C=CCCC42
10840	8	[#6][CH0]([CH2][CH1]([#6])O)([#6])[#8]	CC(O)CC(C)(C)O	OC1(CC2OC2C1)C3=COC=C3	OC1(CCC(O)C1)C
10841	13	[CX3][cH0]([cH0]([cX3]a)[OH1])[cX3][cX3]a	N=CC1=C(O)C=CC=2C=CC=CC21	O=C(O)C1=C(O)C=CC2=NC(=C)C(=C)N=C21	CC=1OC2=C(C)C(O)=C(C=C)C(O)=C2C(=O)C1C
10842	9	[CH3][OH0][cX3]([cH1][cX3]([nX2]a))a	N=1C=CC(OC)=CC1C	N=C1N=C(O)C=C(OC)N1N	IC=1NN=C2C=C(OC)C=CC21
10843	14	[cH1]1[cH1][cX3]([cH0]([cH1][cX3]1)[cX3](a)[nH0][cX3]a)a	NC1=NC=NC2=C1OC=3C=CC=CC32	O=C1SN(C(=O)N1C)C2=CC=CC=3C=CC=CC32	BrC1=CC=C2NC3=NC(=C)C(=C)N=C3C2=C1
10844	8	O[cH0]1:[cX3](:[cH1]:[cH0]([#6]):[cH1]:[cX3]1)	CC1=CC=C(O)C=C1	OC=1C=C(C)C=C(Cl)C1O	BrC=1C=C(C)C=C(Br)C1O
10845	7	[CH3][CH0]1[CH2][CH2][#6][#6]1	OC1(CCCC1)C	CC1(C)CCCC1C
10846	18	[CX3][CH1]1[CX4]([CH2][CH2][CH1]2[CX4]1([CH2][CH2][CX4]([CX4]2([CH3]))))[CH3]	C=CC1C(C)(C)CCC2C31COC(CC3)C2(C)C	CC1(C)CCC2C(C)C(O)CCC2(C)C1C(=O)C	O=C1CCC2(C)CCC3C(CCC(C)C3(C)C)C12
10847	20	O=[CH0]([CH1]([CH2][#6])N[CH0](=O)[CH2]N[CH0](=O)[CH1]([CH2][#6])N[CH0](=O)[#6])[#7]	CCC(NC(=O)CNC(=O)C(NC(=O)C)CC)C(=O)N	O=C(C)NC(C(=O)NCC(=O)NC(C(=O)N)CC1=CNC=2C=CC=CC21)CC	O=C(C)NC(C(=O)NCC(=O)NC(C(=O)N)CC)CC1=CN=CN1
10848	8	[NX3][CH1]([CX4])[CX4][CX4][CH2][CX4]	CNC1CCCCC1	OCC(N)C(O)CCCC	CC12NC=3C=CC=CC3C2(C)CCN(C)C1CC
10849	11	[CX4]([CX4][CH3])[CX4][cH0]1[cH1][cX3]([cX3]([cX3]([cH1]1)))	NC1=CC=C(C=C1)CCCC	OC=1C=C(C=C(O)C1O)C2OCC(C)C2C	CC(C)C(C)C(O)C1=CC=C(O)C=C1
10850	13	[CH2]1[CH2]N[#6][#6][CH0]1([#6])[cH0](:[#6]):[#6]	CC1(C=2C=CC=CC2)CCNCC1	OC1=CC=C2C3=C1OCC43CC(NCC4)C2	C1CN2CC=3C=CC=C4NCC1(C43)CC2
10851	10	[NX3][CX3]([NX3]([cH0]1[cH1][cH1][cH1][cH1][cX3]1))	S=C(N)NC=1C=CC=CC1	CC=1C=CC=CC1N2CCN(C)C2=O	CN(C(=O)N(C)C)C=1C=CC=CC1S
10852	7	[CH3][cX3]([nX2]a)a	NC1=NON=C1C	O=C1C=C(N=C(S)N1)C	OC1=CC=CN=C1C
10853	8	[CH2]1[#6][CH2][CH1](N[CH1]1[#6])[#6]	N1C2CCCC1CC2	CC1NC(C)CCC1
10854	9	[CX4][CH1]([CX4]([CX4]([CH3])[CX3](=[OH0])))[OX2]	O=C1OC(C)C(C)C1C	COC(CC)CC(O)(C(=O)O)C	O=CC1(CCCC(O)C1O)C
10855	9	[#6]S[CH2][cH0](:[#6]):[#7]	CSCC1=NC=CC=C1	NC1=NC(=CS1)CSC2=NC=NN2	CSCC1=C(C)C(=C)C(=C)N1C
10856	11	[#8]=[CH0]([#6])[CH2][CH2][cH0](:[#6]):[cH1]:[#6]	CC(=O)CCC=1C=CC=CC1	CC(=O)CCC1=CC(O)=C(O)C=C1C	OC1=CC(=CC=C1O)CCC(=O)C
10857	8	[CX4][CH2][CH2][CH2][CX4][NX3][CX4]	CCN1CCCCC1	CC(C)NC(C)CCCCN	S1C=CC(=C1)CNC2CCCCC2
10858	15	[OX2][CH1]1[CH2][CX4]([CX4]([CX4])([CH1]([CH0]1([CX3])[CH3])[CX4]))	O=CC1(C)C(OC)CCC(C)(C)C1CC	CC1=CCC(O)C2C(C)(C)C(O)CC(O)C12C	CC(O)C1C2(O)COC2CC(O[Si])C1(C(=O)C)C
10859	11	[#6][cH0]1:[#6](:[#6]:[cH0](:[cH0](:[cH0]1[#8])[#6])[CH2][#6])	CC1=CC=C(C(C)=C1O)CC	OC=1C(C)=C(Br)C=2OCCC2C1C	CC=1C(O)=C(C)C(O)=C(C)C1CC
10860	10	[CX4]([CX4][CX4]([CX3](=[OH0])))([CX3]([CX4]))[CH3]	O=C1CC(=C)C(C)(C)CC1	O=CCCC(CC(C)CCC(=O)N)(C(=O)C)C	CC(=O)C1C(C)C(=O)C(C)C1O
10861	8	O=[CH0]([cH0](:[#7]):[#6])O	OC(=O)C1=CC=CN1	CN1N=C(C(=O)O)C(Cl)=C1N	CC1=CC(Br)=CN=C1C(O)=O
10862	15	[CX4][CH1]([CX4])[nX3]([cH1][cX3]([cX3]a))a	NC1=NC=NC2=C1C=CN2C3CCCC3	CC1=CN(C(C)=C(C)C1=O)C(CO)C(C)C	ClC=1C=CC=CC1C=2C=NN(C2)C(CC)CC
10863	18	[cX3]([cH0]([cH0]([cX3](a)[OH1])[CX3](=[OH0]))[OH0][CX4][cH0]1[cH1][cH1][cX3]([cH1][cH1]1))a	CC1=CC=C(C=C1)COC=2C=CC=C(O)C2C=O	OC=1C=C(O)C=2C(=O)CC(OC2C1)C3=CC=C(O)C=C3	O=C1C=2C(O)=C(C)C(O)=C(C)C2OC(C=3C=CC=CC3)C1
10864	10	[#6][CH1]([CH2][cH0]1:[#6]:[#6](:[cH1]:[cH1]:[cH1]1))[#7]	CC(N)CC=1C=CC=CC1	OC1=CC=CC2=C1CNC(C)C2
10865	14	[CH3][NX3]([CH2][CH2][CX4]([CX4])a)	CC=1NC=C(C1C)C2CCN(C)CC2	CC(C=1C=CC=CC1)C(O)(C2=CC=CC=3C=CC=CC32)CCN(C)C	CC1OC=2C(O)=CC=C3CC4CC1(C32)CCN4C
10866	15	[CX4]1(a)[CX4]([CH1]([CH1]([OH0]1)[CH2][OX2])[OH1])	CC=1N=CN(N1)C2OC(CO)C(O)C2O	O=C1C=CN(C(=O)N1)C2OC(COP)C(O)C2	O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(F)F
10867	11	[NX3][CX4][CH2][cH0]1[cH0]([CX4])[cX3]([cX3]([cH1][cH1]1))	CN1CC=2C=CC=CC2CC1	OC1=CC=C2C3=C1OCC43CC(NCC4)C2	SC1=CC=C2C(=C1)CC(N)C2
10868	8	[CH2]=[CH0]1[#6][#6]([CH1]([CH2][CH2]1)[#6])	C1CC(=C)CCC1C
10869	13	[cX3](a)[cH1][cX3](a)[CH2][CX4]([CH0](=[OH0])[NX3]([CH3]))	O=C(NC)C1NC=2C=CC=CC2C1	NC(C(=O)N(C)C)CC1=CC=C(O)C=C1	O=C1N(C2=CC=C(N)C=C2CC1)C
10870	11	[#7]:[cH0](:[cH0]([CH2][CH2][#7]):[#6])[#6]	CC=1NC=2CNCCC2C1C	NCCC=1C(=O)N(C)C(S)=NC1C	C1=NCCC2=C1NC=3C=CC=CC32
10871	16	[#6][CH2][CH1]=[CH1][CH2][CH1]=[CH1][CH2][CH1]=[CH1][CH2][CH2][CH2][CH2][CH2][#6]	CCC=CCC=CCC=CCCCCCC
10872	7	[#6][CH1]([#6])N[CH0]([#7])=S	S=C(N)NC(C)C	S=C1NCC(C)N1	S=C(N)NC1CC1
10873	8	[CX3](=[OH0])[CX4]([CH0]([CH3])([CH3])[CX4])	OC(=O)CC(C)(C)C	O=C1OCC(C)(C)C1N	O=C(C)C1(C)CCCC1(C)C
10874	9	[CH3]O[cH0]1:[cX3](:[cH0](:[cX3](:[cH1]:[cH1]1))[#8])	OC1=CC=CC(OC)=C1	CC1=C(O)C(Br)=CC=C1OC	OC1=CC=CC(OC)=C1O
10875	8	[CX4]([CH2][CH2][CX3])[CH0](=[OH0])[OH1]	O=C(O)CCCC=C	O=C(O)C1(C)CCC(=C)CC1	O=C(N)CCC(N)C(=O)O
10876	12	[#8][CH0]1([cH0](:[cH0](:[#6])[#7][#6]1):[#6])[CH2][#6]	CCC1(O)CNC=2C=CC=CC21	CCC1(O)CNC=2C(Cl)=CC=C(Cl)C21	OC=1C(C)=CC=C2C1NCC2(O)CC
10877	14	[cH1]1[cH1][cH1][cX3]([cH0]([cH1]1)[CX3][cX3]([cH1][cX3]([cX3](a)))a)	N=C1C=2C=CC=CC2C=3C=CC=CC13	CC=1C=CC=CC1C(=O)C2=CC=C(Cl)C(N)=C2	O=C1C=2C=CC=CC2CC=3C4=NSN=C4C=CC13
10878	16	[cX3]1(a)[cX3]([CH2][CX4]([CX4]([CH0]1([CX4])[CX4])([CX4])))a	OC1=CC=C2C(=C1)C3(C)CCNC(C2)C3C	CC=1NC2=C(C1C)CC(C)(N)C(CC)C2(C)C	OC1=CC=C2C3=C1OC4C=5OC=6C=CC=CC6C5CC7(O)C(NCCC347)C2
10879	8	[cX3]1[cH1][cX3]([cH0]([nH0][cH1]1)[CX3])	C=CC1=NC=CC=C1	CC1=CC(Br)=CN=C1C(O)=O	O=C(C1=NC=CC=C1)C=2C=NN3C2N=CC=C3C=4C=CN=CC4
10880	10	[CX4][CH1]([CX4]([CX3]=[OH0]))[CH2][CX3](=[OH0])	O=C1NC(=O)CC(CC)C1	O=C(C)C(C)(C)C(C)CC(=O)O	CC(=O)CC1C(OC(=O)C1C)C
10881	10	[#6][cH0]1:[cH0](:[cX3](:[cH0](:[cX3]:[cH0]1O)[#6]))[#6]	CC=1C=C(C)C=C(O)C1C	CC=1C(O)=C2C=CC=NC2=C(O)C1C	C=C1C(O)=C2C(=O)C=C(C=C2C=3C1=C(C)C4=C(O)C=C(O)C=5C(O)=C6C(=O)C=C(C=C6C3C45)C)C
10882	9	[CX4][CX4]([CX4][OH0][CH0](=[OH0])[CX3])	C=CC(=O)OCCCC	O=C1OC(CC=C1)CCC=2C=CC=CC2	O=C1OC(O)(C=C1C)CC(C)(C)C
10883	14	[CH2]([CH2][CX3](=[OH0]))[CX4]([CH0](=[OH0])[NH1][CX4][CX3](=[OH0]))	O=C(O)CCCC(=O)NC1CNC1=O	O=CC(C)NC(=O)C(N)CCC(=O)N	O=C(N)C(C)NC(=O)C1NC(=O)CC1
10884	12	[cH1]([cX3]a)[cH1][cX3](a)[NH1][CH0](=[OH0])[CH2][ClH0]	CC=1C=CC=CC1NC(=O)CCl	O=C(NC1=CC=CC2=NSN=C21)CCl	O=C(NC=1C=CC(=C)C(=C)C1)CCl
10885	6	[CH3][CX4][OH0][CH2][CX4]	OCCOCC	CC1CCC(OC1)C	CC(N)COC(C)(C)C
10886	11	[CX4]([CX4]([CX4][CH3]))[cX3]([cX3][cX3]a)a	OC1=NNC(=C1C)CCCC	SC=1SC=2SC(C)CC(N)C2C1	OC=1C(=C)C(=C)N(C)C(=O)C1C(C)C(Cl)C(O)(C)C
10887	9	[CX4][OH0][CX4]1([CX4]([CH2][CH2][CX4]([CX4]1)))	CCOC1CCCCC1	CC1(OC2(O)C(C)C1(C)CCC2(O)C)C	OC1CCC(C)CC1OC
10888	13	N([#6])[CH2][CH2][cH0]1:[cH1]:[#7]:[cH0]2:[#6]:[cH1]:[cH1]:[cH1]:[cH0]21	CNCCC1=CNC=2C=CC=CC21
10889	16	[cX3](a)[cH0]([cX3]([cH1][cX3]a))[CX4]([CX4][CX4]([CH3])([CH3]))	NC(C)(C)C1CC2=CNC3=CC=CC(=C23)C1	CC1=CC=2C=C(C(O)=CC2OC1=O)CC3OC3(C)C	CN1C=C(C=2C=CC=CC21)CC(O)C(O)(C)C
10890	18	O=[CH0]1[cH0]2:[#6](:[cH1]:[cH0](:[cH1]:[cH0]2O[CH1]([CH2]1)[cH0]1:[cH1]:[#6](:[#6](:[cH1]:[cH1]1)))[#8])	OC1=CC=C2C(OC(C=3C=CC=CC3)CC2=O)=C1	CC1=CC(=CC=C1O)C2OC=3C=C(O)C=C(O)C3C(=O)C2	O=C1C=2C(O)=CC(O)=CC2OC(C=3C=CC=CC3)C1
10891	10	[NX3]([CX4][CX4])[cH0]1[cH1][cH1][cH1][cH1][cH1]1	NCCNC=1C=CC=CC1	CC1CCN(C=2C=CC=CC2)C1	OC(C)C(C)N(C=1C=CC=CC1)C
10892	8	O=[CH0]([CH0]([#6])([CH2][#6])O)O	O=C1OCCC1(C)O	CCC(O)(C)C(=O)O	O=C(O)C1(OC1)CC
10893	10	[#6][cH0](:[cH0](:[#6])[CH0](=O)[#8]):[cH1]:[#6]	O=C(O)C=1C=CC=CC1C	O=C1OCC2=CC(O)=C(O)C(N)=C12	O=C(O)C1=C(O)NC=2C=CC(F)=CC21
10894	10	N[CH1]([CH1]([#6])O[CH1]([#6])O[#6])[#6]	NC1CCC(OC)OC1C	COC(C)OC(C)C(C)N
10895	4	N=[CH0]([#7])N	N=C(N)N
10896	10	[NX3]([CH1]([CH0](=[OH0])[OX2])[CX4][CH3])[CH3]	O=C(O)C(N(C)C)C(C)C	CN(C)C(C(=O)OC)C(O)C
10897	10	[CX4][cH0]1[cX3][cX3][cX3]([cH0]([cX3]1)[CH2][CX4])	NC=1C(=CC=CC1CC)C	CC1(O)COC2=CC(O)=C3C(OCC(O)C3)=C21	FC(F)(F)C=1C=CC=C2C1NCC2
10898	11	[#6]([CH1](O[cH0](:[#6]):[cH1]:[#6])[#6])	CC1OC=2C=CC=CC2OC1	NC=1C=C(OC(C)C)C(Cl)=CC1F	OC=1C=CC=CC1OC(C)C=2C=CC=CC2
10899	11	[CX4]([CX4][CH2][OH0][PH0](=[OH0])([OH1])[OX2])[OH1]	O=P(O)(OC)OCC(O)CO	O=P(O)(O)OCC(C)(N)CO	CC(O)C(C)(C)COP(=O)(O)OP
10900	6	[CH3][CH0](=[CH1][CH1]=[#6])[#6]	CC(=CC=C)C
10901	14	[cX3]1[cH1][cH1][cX3]([cX3](a)[cH0]1[cH1][cH1][cX3]a)	N=1C=2C=CC=3C=CC=CC3C2OC1C	CC1=CC(=C(O)C=C1C)C=2C(O)=CC=C3C(=C)C(=C)C=CC32	C=1C=CC=2C=C(C=CC2C1)C3=CC=4C=CC=CC4N3
10902	8	[CX3](=[CX3])[CH0](=[OH0])[OH0][CH2][CX4]	CC=CC(=O)OCC	O=C1OCC(C)(C)CC1=C	O=C(OCC(O)C)C(=C)C
10903	8	[#9][cH0](:[cH1]:[cH0](:[#6])N):[#6]	FC1=CC=CC(N)=C1	CC=1C=C(O)C(F)=CC1N	FC=1C=C(N)C(Cl)=NC1Cl
10904	7	[CX4][CH0]([CH3])([CX3](=[OH0]))[OH1]	O=C(C)C(O)(C)C	O=C1OCC(O)C1(O)C	CC1(O)C=CC(=O)C1(O)C
10905	11	[#6]=[CH1][CH2][cH0]1:[cH1]:[cH0](:[cH1]:[#6]:[#6]1)[#6]	C=CCC1=CC(C)=CC=C1O	C=CCC1=CC(C)=CC(C)=C1N
10906	11	[CH3]O[cH0](:[cH0](:[#6])O[CH2][#6]):[#6]	CCOC=1C=CC=CC1OC	OC=1C=C2CCCOC2=C(OC)C1O	CC1=CC=C(OCC=2C=CC3=NSN=C3C2)C(OC)=C1
10907	6	[CH3][NH0]([CH3])[CH2][CX4]	CCCN(C)C	OC(C)CN(C)C
10908	5	[CH3]N([#6])[CH2][#6]	CCN(C)C
10909	14	[CH3][cH0]1:[cH0](:[cH1]:[cH1]:[cH0](:[cH0]1[#8])[#6])O[CH2][CH0](=O)[#7]	CC1=CC=C(OCC(N)=O)C(=C1O)C
10910	11	[cX3]1[cH1][cH0]([cH1][cX3]([cH0]1[OH1]))[CH0](=[OH0])[OX2]	O=C(OC)C1=CC=C(O)C=C1	O=C(O)C1=CC(O)=C(O)C(Cl)=C1	NC1=CC(=CC=C1O)C(=O)O
10912	6	[CH3][CX4][CX4]([CH2][NX3])	CNCCCC	C=1C=CC2=C(C1)NCCC2C	OC1(CN(C)CC1)C
10913	11	[nX3](a)[cH0]1[cH0]([cX3](a))[cX3]([cH1][cH1][cH1]1)	O=C1C=CNC=2C=CC=CC12	N1=C(C=2OC(C)=CC2)C=3C=CC=CC3N1C	N=1C=C(C)C=2C=3C=CC=CC3NC2C1C
10914	11	[CX3][NH1][CH1]([CH2][CH2][CX4])[CX3](=[OH0])	NC(=O)C(NC(=O)C)CCC	O=C(C)NC1C(=O)NC(O)CC1	NCCCC(NC(O)=O)C(=O)N
10915	9	[CX4]1[CX4]([CH1]([CX4]([CX4]1))[CX3](=[CX3]))	CC1CCCC1C=CC	OC1C2OC2(C)C3COC=CC13	CC=1CC2CCC(C1S)C2
10916	12	O=[CH0](N[cH0]1:[#6]:[#6]:[cH1]:[cH1]:[cH0]1O[#6])[#6]	CC(=O)NC=1C=CC=CC1OC	COC=1C=CC=C2CC(=O)NC21	CC1=CC=CC(OC)=C1NC(=O)C2=NOC(=C2)C=3C=CC=CC3
10917	10	[CH1](=[CH0]([#6])[CH2]N([#6])[CH2][CH2][#6])[#6]	CCCN(C)CC(C)=CC	CC1=CCCN(C1)CCC	CC(=CC)CN1CCCC1
10918	7	[SX2][CH2][CH1]([CX3])[NH2]	O=C(N)C(N)CS	CSCC(N)C(=O)O
10919	9	[CH3][CH0]([#6])([CH1]([#6])[#6])[CH1]([#6])[#6]	CC1CCC(C)C1(C)C	CC(C)C(C)(C)C(C)C
10920	6	[CX4]([CH2][CH2][CH2][CX4])	CCCCCC	N1CCCCC1	CC1OC(O)(C)CCC1
10921	16	O=[CH0]([CH1](N[#6])[#6])N[CH1]([CH2][CH2][CH2]N=[CH0]([#7])[#7])[#6]	CNC(C)C(=O)NC(C)CCCN=C(N)N
10922	7	[CX4][CH0]([CH3])([CH2][CX4])[OX2]	CCCC(O)(C)C	COC1(C)CCCC(C)C1	C1=CCCC(O1)(C)CC
10923	8	[CX4]([CX4]([CX4]([CX4]([CX4]([CX4][OH1])))))	OC(C)CCCCC	OC1C(O)C=CC2C(N)CC=CC12C	SC1OC(CO)C(O)C(O)C1O
10924	12	[CX4][CH2][OH0][CH0](=[OH0])[cH0]1[cH1][cH1][cX3]([cH1][cH1]1)	NCCOC(=O)C=1C=CC=CC1	O=C(OCC)C1=CC=C(C=C1)N2N=CC=C2	O=C(OCC(O)C)C1=CC=C(O)C=C1
10925	7	S([#6])[CH2][CH1]([#6])N[#6]	CNC1CCSC1	CNC(C)CSC=1C=CC=CC1	CN1CSCC1C
10926	12	[CX4]([OH0][CX4][nH0]1[cH1][nH0][cX3]([cX3]1))[CH2][OH1]	CC=1N=CN(C1N)COCCO	OCC1OC(CC1)N2C=NC=3C=NC=NC32	CC(OC(C)CO)N1C=NC=2C=NC=NC21
